gene_id,product_description,chromosome,start,end,strand,functional_category
LOC103704334,serine/threonine-protein kinase ATG1t,NC_052392.1,30838971,30842235,-,Protein_Kinases
LOC103704336,serine/threonine-protein kinase STY17-like%2C transcript variant X3,NC_052392.1,30863235,30908809,-,Protein_Kinases
LOC103704378,probable serine/threonine-protein kinase At1g01540,NC_052392.1,31509093,31513308,+,Protein_Kinases
LOC120112464,probable receptor-like protein kinase At1g49730,NC_052392.1,31534687,31548778,+,Protein_Kinases
LOC103706565,calcium/calmodulin-regulated receptor-like kinase 2,NC_052392.1,32465648,32485400,+,Protein_Kinases
LOC103706563,phosphatidylinositol 4-kinase gamma 7,NC_052392.1,32489750,32494200,-,Protein_Kinases
LOC103721007,receptor protein kinase TMK1-like,NC_052392.1,33047473,33051917,+,Protein_Kinases
LOC120112179,probable LRR receptor-like serine/threonine-protein kinase At3g47570,NC_052392.1,33109488,33110139,-,Protein_Kinases
LOC103721009,LRR receptor-like serine/threonine-protein kinase EFR,NC_052392.1,33110190,33112430,-,Protein_Kinases
LOC103710937,pyruvate%2C phosphate dikinase 2%2C transcript variant X2,NC_052392.1,33409366,33440894,+,Protein_Kinases
LOC103710936,pyruvate%2C phosphate dikinase%2C chloroplastic-like,NC_052392.1,33456917,33472014,+,Protein_Kinases
LOC103710946,LRR receptor-like serine/threonine-protein kinase ER2,NC_052392.1,33764412,33766340,-,Protein_Kinases
LOC103702673,G-type lectin S-receptor-like serine/threonine-protein kinase At1g34300,NC_052392.1,34978883,34985354,+,Protein_Kinases
LOC103702675,serine/threonine-protein kinase SAPK7-like,NC_052392.1,35008188,35013343,-,Protein_Kinases
LOC103698889,glycerol kinase,NC_052392.1,36193411,36199074,+,Protein_Kinases
LOC103715903,calmodulin-binding receptor-like cytoplasmic kinase 3%2C transcript variant X2,NC_052392.1,36409208,36419208,-,Protein_Kinases
LOC103722624,L-type lectin-domain containing receptor kinase IX.1-like,NC_052392.1,36463322,36467151,-,Protein_Kinases
LOC103722632,L-type lectin-domain containing receptor kinase IX.1-like,NC_052392.1,36492908,36497540,-,Protein_Kinases
LOC103722631,L-type lectin-domain containing receptor kinase IX.2-like,NC_052392.1,36508072,36510936,-,Protein_Kinases
LOC103722623,L-type lectin-domain containing receptor kinase IX.1-like,NC_052392.1,36524599,36528000,-,Protein_Kinases
LOC120112950,L-type lectin-domain containing receptor kinase IX.1-like,NC_052392.1,36536468,36539223,-,Protein_Kinases
LOC108511856,L-type lectin-domain containing receptor kinase IX.1-like,NC_052392.1,36553986,36557270,+,Protein_Kinases
LOC103722629,L-type lectin-domain containing receptor kinase IX.1-like,NC_052392.1,36568086,36572580,+,Protein_Kinases
LOC103722628,L-type lectin-domain containing receptor kinase IX.1-like,NC_052392.1,36608676,36611983,+,Protein_Kinases
LOC120112723,L-type lectin-domain containing receptor kinase IX.1-like,NC_052392.1,36632266,36636696,+,Protein_Kinases
LOC120112978,L-type lectin-domain containing receptor kinase IX.1-like%2C transcript variant X1,NC_052392.1,36649115,36652329,+,Protein_Kinases
LOC113462444,probable receptor-like protein kinase At1g11050,NC_052392.1,36721920,36723965,+,Protein_Kinases
LOC103702728,probable receptor-like protein kinase At1g11050,NC_052392.1,36733071,36735029,+,Protein_Kinases
LOC120112979,phosphatidylinositol 4-phosphate 5-kinase 1-like%2C transcript variant X1,NC_052392.1,36735608,36740637,+,Protein_Kinases
LOC103702601,probable receptor-like protein kinase At1g11050,NC_052392.1,36744138,36746584,+,Protein_Kinases
LOC103702603,serine/threonine-protein kinase STE20-like,NC_052392.1,36766196,36770325,+,Protein_Kinases
LOC103702635,1-phosphatidylinositol-3-phosphate 5-kinase FAB1A%2C transcript variant X2,NC_052392.1,37280040,37291063,-,Protein_Kinases
LOC120113028,probable serine/threonine-protein kinase PBL16,NC_052392.1,37564079,37577293,+,Protein_Kinases
LOC103713757,receptor-like protein kinase 2,NC_052392.1,38056947,38060823,-,Protein_Kinases
LOC103716608,adenylate kinase%2C chloroplastic-like%2C transcript variant X3,NC_052392.1,38188682,38196166,-,Protein_Kinases
LOC108511633,serine/threonine-protein kinase-like protein CCR4,NC_052392.1,38255563,38258310,-,Protein_Kinases
LOC103716635,receptor protein-tyrosine kinase CEPR2%2C transcript variant X3,NC_052392.1,38269129,38276583,-,Protein_Kinases
LOC103719498,probable serine/threonine-protein kinase At1g54610,NC_052392.1,38624996,38636870,-,Protein_Kinases
LOC103719491,non-lysosomal glucosylceramidase%2C transcript variant X2,NC_052392.1,38697967,38744432,+,Other_Signaling_Metabolism
LOC103719487,mitogen-activated protein kinase kinase kinase 18-like%2C transcript variant X2,NC_052392.1,38803176,38807159,+,Protein_Kinases
LOC103706096,fructokinase-2-like,NC_052392.1,39092210,39096862,+,Protein_Kinases
LOC103706071,inositol-tetrakisphosphate 1-kinase 6%2C transcript variant X7,NC_052392.1,39415267,39435463,+,Protein_Kinases
LOC103706061,probably inactive leucine-rich repeat receptor-like protein kinase At5g48380%2C transcript variant X3,NC_052392.1,39568737,39573337,+,Protein_Kinases
LOC103706059,integrin-linked protein kinase 1-like,NC_052392.1,39579290,39590662,+,Protein_Kinases
LOC103706024,fructokinase-1-like,NC_052392.1,40153864,40155716,-,Protein_Kinases
LOC103714701,cation/H(+) antiporter 19-like,NC_052392.1,40681033,40684957,+,Ion_Transporters
LOC103708389,phosphoenolpyruvate carboxykinase (ATP) 1-like,NC_052393.1,95812,102752,+,Protein_Kinases
LOC103708398,acetylglutamate kinase%2C chloroplastic-like,NC_052393.1,202937,204621,+,Protein_Kinases
LOC103708432,adenosine kinase 2-like,NC_052393.1,723155,731948,+,Protein_Kinases
LOC103708439,phosphoenolpyruvate carboxylase kinase 2-like,NC_052393.1,766308,767719,-,Protein_Kinases
LOC103700633,putative wall-associated receptor kinase-like 16,NC_052393.1,883164,885702,+,Protein_Kinases
LOC103708460,wall-associated receptor kinase 2-like,NC_052393.1,900755,903596,+,Protein_Kinases
LOC103708448,putative wall-associated receptor kinase-like 16,NC_052393.1,917042,919528,+,Protein_Kinases
LOC103699473,wall-associated receptor kinase 2-like,NC_052393.1,938351,941073,+,Protein_Kinases
LOC120104793,wall-associated receptor kinase 2-like,NC_052393.1,961516,964048,+,Protein_Kinases
LOC103716092,putative wall-associated receptor kinase-like 16,NC_052393.1,970011,972899,+,Protein_Kinases
LOC103717599,casein kinase 1-like%2C transcript variant X2,NC_052393.1,1395818,1410620,-,Protein_Kinases
LOC103717596,serine/threonine-protein kinase tricornered-like%2C transcript variant X1,NC_052393.1,1420053,1435991,-,Protein_Kinases
LOC120104883,MDIS1-interacting receptor like kinase 2-like,NC_052393.1,1561595,1566112,-,Protein_Kinases
LOC103699429,MDIS1-interacting receptor like kinase 2-like,NC_052393.1,1601058,1604661,-,Protein_Kinases
LOC120104887,MDIS1-interacting receptor like kinase 2-like,NC_052393.1,1613372,1617730,-,Protein_Kinases
LOC103697022,MDIS1-interacting receptor like kinase 2-like,NC_052393.1,1649834,1652457,-,Protein_Kinases
LOC103699335,MDIS1-interacting receptor like kinase 2-like,NC_052393.1,1699571,1703257,-,Protein_Kinases
LOC120104891,MDIS1-interacting receptor like kinase 2-like,NC_052393.1,1743899,1745444,-,Protein_Kinases
LOC120104942,MDIS1-interacting receptor like kinase 2-like,NC_052393.1,1791777,1795671,-,Protein_Kinases
LOC120104511,probable leucine-rich repeat receptor-like protein kinase At1g35710,NC_052393.1,1808458,1815827,-,Protein_Kinases
LOC103716263,non-lysosomal glucosylceramidase-like,NC_052393.1,1935242,1950668,+,Other_Signaling_Metabolism
LOC103716255,cyclin-dependent kinase inhibitor 5-like,NC_052393.1,2099698,2103277,+,Protein_Kinases
LOC103716270,MDIS1-interacting receptor like kinase 2-like,NC_052393.1,2241997,2245536,-,Protein_Kinases
LOC103716269,MDIS1-interacting receptor like kinase 2-like,NC_052393.1,2262612,2267712,+,Protein_Kinases
LOC103716268,probable LRR receptor-like serine/threonine-protein kinase At1g34110,NC_052393.1,2268995,2270614,-,Protein_Kinases
LOC103715442,MDIS1-interacting receptor like kinase 2-like,NC_052393.1,2282470,2287514,+,Protein_Kinases
LOC103715445,probable leucine-rich repeat receptor-like protein kinase At1g35710,NC_052393.1,2292101,2294158,-,Protein_Kinases
LOC103715446,LRR receptor-like serine/threonine-protein kinase GSO1,NC_052393.1,2301836,2304851,-,Protein_Kinases
LOC103715447,LRR receptor-like serine/threonine-protein kinase GSO1,NC_052393.1,2332887,2335921,-,Protein_Kinases
LOC103715449,probable leucine-rich repeat receptor-like protein kinase At1g35710,NC_052393.1,2346638,2349682,-,Protein_Kinases
LOC103719916,hexokinase-4%2C chloroplastic,NC_052393.1,3030857,3036653,+,Protein_Kinases
LOC103719894,calcium-dependent protein kinase 18%2C transcript variant X3,NC_052393.1,3051179,3063374,-,Protein_Kinases
LOC103724130,serine/threonine-protein kinase RIPK-like%2C transcript variant X3,NC_052393.1,4314426,4318890,+,Protein_Kinases
LOC103724131,misshapen-like kinase 1,NC_052393.1,4319912,4325541,-,Protein_Kinases
LOC103706299,phosphoribulokinase%2C chloroplastic,NC_052393.1,5226935,5231217,-,Protein_Kinases
LOC103706244,phosphomevalonate kinase%2C peroxisomal,NC_052393.1,5334558,5344614,-,Protein_Kinases
LOC103714597,probable inactive shikimate kinase like 2%2C chloroplastic,NC_052393.1,5526165,5539915,-,Protein_Kinases
LOC103714584,heat stress transcription factor A-1,NC_052393.1,5850122,5866760,-,Stress_Osmoprotectants
LOC103711755,inositol-tetrakisphosphate 1-kinase 5-like%2C transcript variant X3,NC_052393.1,5978069,5988050,-,Protein_Kinases
LOC103711784,uncharacterized sugar kinase slr0537,NC_052393.1,6354340,6360949,+,Protein_Kinases
LOC103703602,pyruvate kinase isozyme G%2C chloroplastic-like,NC_052393.1,6775960,6787981,-,Protein_Kinases
LOC103710766,probable serine/threonine-protein kinase PBL19%2C transcript variant X4,NC_052393.1,7461493,7472883,-,Protein_Kinases
LOC103710774,serine/threonine-protein kinase SAPK3-like,NC_052393.1,7578598,7583472,+,Protein_Kinases
LOC103710813,probable serine/threonine-protein kinase cdc7,NC_052393.1,8098863,8114824,-,Protein_Kinases
LOC103713591,serine/threonine-protein kinase D6PK-like,NC_052393.1,8344674,8351267,+,Protein_Kinases
LOC103716327,putative kinase-like protein TMKL1,NC_052393.1,8760100,8764084,-,Protein_Kinases
LOC103708526,putative receptor-like protein kinase At3g47110,NC_052393.1,11144462,11148753,+,Protein_Kinases
LOC103708498,CDPK-related kinase 3-like%2C transcript variant X1,NC_052393.1,11178138,11197429,-,Protein_Kinases
LOC103708477,salt tolerance receptor-like cytoplasmic kinase 1,NC_052393.1,11682825,11684461,-,Protein_Kinases
LOC103708473,sphingoid long-chain bases kinase 1-like,NC_052393.1,11749181,11768870,+,Protein_Kinases
LOC103717369,serine/threonine-protein kinase sid1-like%2C transcript variant X1,NC_052393.1,11999351,12037225,+,Protein_Kinases
LOC103719464,probable serine/threonine-protein kinase WNK4%2C transcript variant X2,NC_052393.1,12278016,12281951,-,Protein_Kinases
LOC103719462,bifunctional fucokinase/fucose pyrophosphorylase,NC_052393.1,12286581,12301784,+,Protein_Kinases
LOC103714164,heat stress transcription factor B-2b,NC_052393.1,12630114,12631810,+,Stress_Osmoprotectants
LOC103714158,shaggy-related protein kinase alpha-like%2C transcript variant X1,NC_052393.1,12703061,12716521,-,Protein_Kinases
LOC103714183,tyrosine-protein kinase Fer,NC_052393.1,12851981,12865333,-,Protein_Kinases
LOC103699099,probable inactive leucine-rich repeat receptor kinase XIAO,NC_052393.1,13001932,13006455,-,Protein_Kinases
LOC103700120,probable LRR receptor-like serine/threonine-protein kinase At1g12460,NC_052393.1,13198702,13202470,+,Protein_Kinases
LOC103699814,K(+) efflux antiporter 5%2C transcript variant X1,NC_052393.1,13257685,13280129,-,Ion_Transporters
LOC103699837,serine/threonine-protein kinase Aurora-3,NC_052393.1,13309474,13314781,+,Protein_Kinases
LOC120109013,protein-ribulosamine 3-kinase%2C chloroplastic-like%2C transcript variant X1,NC_052393.1,13854067,13863605,-,Protein_Kinases
LOC103720511,MDIS1-interacting receptor like kinase 1-like,NC_052393.1,14271247,14275664,+,Protein_Kinases
LOC103721290,probable leucine-rich repeat receptor-like protein kinase At5g63930%2C transcript variant X2,NC_052393.1,14359294,14365639,-,Protein_Kinases
LOC103722146,receptor-like serine/threonine-protein kinase SD1-8%2C transcript variant X2,NC_052393.1,14763540,14779474,+,Protein_Kinases
LOC103722147,bifunctional riboflavin kinase/FMN phosphatase-like,NC_052393.1,14856718,14864398,-,Protein_Kinases
LOC103722190,sulfofructose kinase-like%2C transcript variant X3,NC_052393.1,15076056,15097092,+,Protein_Kinases
LOC103722188,D-ribulose kinase%2C transcript variant X1,NC_052393.1,15113646,15126392,+,Protein_Kinases
LOC103708198,receptor-like serine/threonine-protein kinase At2g45590%2C transcript variant X2,NC_052393.1,15350912,15356611,+,Protein_Kinases
LOC120109727,serine/threonine-protein kinase WAG1-like,NC_052393.1,15595701,15597603,+,Protein_Kinases
LOC103703537,UMP-CMP kinase%2C transcript variant X1,NC_052393.1,15726797,15743292,+,Protein_Kinases
LOC103720391,probably inactive receptor-like protein kinase At2g46850,NC_052393.1,16200417,16205424,-,Protein_Kinases
LOC103720373,serine/threonine-protein kinase ATG1a,NC_052393.1,16217628,16232627,+,Protein_Kinases
LOC103702746,serine/threonine receptor-like kinase NFP,NC_052393.1,16700056,16703716,-,Protein_Kinases
LOC103717361,probable receptor-like protein kinase At5g59700,NC_052393.1,16879764,16882704,+,Protein_Kinases
LOC103717363,probable membrane-associated kinase regulator 6,NC_052393.1,16899211,16900477,+,Protein_Kinases
LOC120109899,mitogen-activated protein kinase homolog MMK2-like,NC_052393.1,17023654,17037555,-,Protein_Kinases
LOC103723248,cyclin-dependent kinases regulatory subunit 1-like%2C transcript variant X2,NC_052393.1,17238142,17239199,-,Protein_Kinases
LOC103717746,receptor-like protein kinase 2%2C transcript variant X1,NC_052393.1,17923952,17928012,+,Protein_Kinases
LOC103715467,calmodulin-binding receptor-like cytoplasmic kinase 2%2C transcript variant X2,NC_052393.1,18910536,18915954,+,Protein_Kinases
LOC103695735,lysM domain receptor-like kinase 4,NC_052393.1,20001019,20003165,-,Protein_Kinases
LOC103695734,lysM domain receptor-like kinase 3,NC_052393.1,20107613,20108941,-,Protein_Kinases
LOC103696856,serine/threonine-protein kinase PCRK1-like,NC_052393.1,20198211,20211720,+,Protein_Kinases
LOC120109910,SNF1-related protein kinase regulatory subunit beta-3-like%2C transcript variant X2,NC_052393.1,20447033,20457232,+,Protein_Kinases
LOC103721309,phosphoglycerate kinase-like%2C transcript variant X2,NC_052393.1,20588319,20627647,+,Protein_Kinases
LOC103717430,mitogen-activated protein kinase kinase kinase YODA-like%2C transcript variant X3,NC_052393.1,21331902,21376574,-,Protein_Kinases
LOC103717008,leucine-rich repeat receptor-like serine/threonine/tyrosine-protein kinase SOBIR1,NC_052393.1,21728168,21730061,-,Protein_Kinases
LOC103717011,cyclin-dependent protein kinase inhibitor SMR1-like,NC_052393.1,21877193,21877561,+,Protein_Kinases
LOC120109918,kinase-interacting family protein-like,NC_052393.1,22700349,22703643,-,Protein_Kinases
LOC103695469,G-type lectin S-receptor-like serine/threonine-protein kinase At2g19130,NC_052393.1,22956788,22959507,+,Protein_Kinases
LOC103696787,cysteine-rich receptor-like protein kinase 2,NC_052393.1,23211558,23231162,-,Protein_Kinases
LOC103695713,MDIS1-interacting receptor like kinase 2-like,NC_052393.1,23477128,23479434,+,Protein_Kinases
LOC120109922,MDIS1-interacting receptor like kinase 2-like,NC_052393.1,23524027,23526716,+,Protein_Kinases
LOC120109923,MDIS1-interacting receptor like kinase 2-like,NC_052393.1,23545923,23548634,+,Protein_Kinases
LOC120109928,cold-responsive protein kinase 1-like%2C transcript variant X2,NC_052393.1,24218495,24246843,+,Protein_Kinases
LOC103721119,cold-responsive protein kinase 1-like%2C transcript variant X2,NC_052393.1,24465485,24493840,+,Protein_Kinases
LOC113463045,heat stress transcription factor B-4b-like,NC_052393.1,25016672,25022264,-,Stress_Osmoprotectants
LOC108510915,LRR receptor-like serine/threonine-protein kinase FEI 1,NC_052393.1,26222449,26222960,-,Protein_Kinases
LOC120109941,LRR receptor-like serine/threonine-protein kinase FEI 1%2C transcript variant X1,NC_052393.1,26238120,26242653,-,Protein_Kinases
LOC103714508,cyclin-dependent kinase F-4%2C transcript variant X1,NC_052393.1,26600251,26612527,-,Protein_Kinases
LOC103714524,cyclin-dependent kinase E-1,NC_052393.1,26810972,26838857,+,Protein_Kinases
LOC120110021,wall-associated receptor kinase 2-like,NC_052393.1,26936599,26937664,+,Protein_Kinases
LOC108511561,wall-associated receptor kinase-like 1,NC_052393.1,26940374,26942206,+,Protein_Kinases
LOC103699897,wall-associated receptor kinase 5-like%2C transcript variant X3,NC_052393.1,26990620,26998996,-,Protein_Kinases
LOC103708723,probable serine/threonine-protein kinase PBL9,NC_052393.1,27069588,27072145,-,Protein_Kinases
LOC103714529,calcium-dependent protein kinase 12,NC_052393.1,27121959,27133779,-,Protein_Kinases
LOC103708687,serine/threonine-protein kinase STY46-like%2C transcript variant X5,NC_052393.1,27297482,27338214,+,Protein_Kinases
LOC103708708,serine/threonine-protein kinase BSK1,NC_052393.1,27806484,27826513,+,Protein_Kinases
LOC103720922,probable serine/threonine-protein kinase PIX13%2C transcript variant X2,NC_052393.1,28362216,28366718,-,Protein_Kinases
LOC103720914,probable serine/threonine-protein kinase PBL21,NC_052393.1,28372843,28385354,-,Protein_Kinases
LOC120109960,L-type lectin-domain containing receptor kinase SIT2-like%2C transcript variant X1,NC_052393.1,28524473,28526682,+,Protein_Kinases
